created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,PM2.5_ATM_ug/m3
2019-08-07 05:00:00 UTC,26.76,36.37,37.56,5579.76,-92.8,32.64
2019-08-07 06:00:00 UTC,24.32,33.64,34.81,5642.04,-92.27,31.35
2019-08-07 07:00:00 UTC,25.12,36.38,37.86,5702.57,-92.36,33.36
2019-08-07 08:00:00 UTC,26.36,39.5,41.32,5761.13,-92.07,35.16
2019-08-07 09:00:00 UTC,25.4,37.07,38.71,5821.17,-91.67,33.63
2019-08-07 10:00:00 UTC,25.22,35.71,37.12,5880.92,-91.83,32.83
2019-08-07 11:00:00 UTC,24.57,34.64,36.06,5939.26,-92.74,31.95
2019-08-07 12:00:00 UTC,20.47,28.71,29.73,6001.31,-91.85,27.6
2019-08-07 13:00:00 UTC,20.28,28.5,29.66,6060.73,-91.97,27.21
2019-08-07 14:00:00 UTC,21.7,30.15,31.3,6121,-91.33,28.75
2019-08-07 15:00:00 UTC,23.94,33.18,34.48,6181.03,-91.77,30.61
2019-08-07 16:00:00 UTC,24.86,34.47,35.8,6241,-91.33,31.62
2019-08-07 17:00:00 UTC,22.48,30.77,32.01,6299.33,-92.07,28.67
2019-08-07 18:00:00 UTC,28.24,38.43,39.91,6362.27,-91.42,33.47
2019-08-07 19:00:00 UTC,30.28,42.32,44.33,6421.71,-91.96,36.56
2019-08-07 20:00:00 UTC,20.88,28.2,29.35,6480.77,-91.4,26.59
2019-08-07 21:00:00 UTC,28.95,41.5,43.63,6540,-92.54,35.86
2019-08-07 22:00:00 UTC,18.12,26.25,27.42,6600.4,-92.63,25.48
2019-08-07 23:00:00 UTC,13.37,20.07,21.08,6661.03,-92.5,20.06
2019-08-08 00:00:00 UTC,12.31,18.45,19.32,6721,-92.17,18.37
2019-08-08 01:00:00 UTC,11.78,17.91,18.85,6781.24,-92.28,17.91
2019-08-08 02:00:00 UTC,13.13,19.73,20.7,6841.03,-92.97,19.68
2019-08-08 03:00:00 UTC,15.68,23.24,24.33,6901.1,-92.33,22.53
2019-08-08 04:00:00 UTC,21.25,30.91,32.27,6961.1,-92.8,29.24
2019-08-08 05:00:00 UTC,25.27,36.19,37.79,7018.46,-92.92,33.26
2019-08-08 06:00:00 UTC,28.04,41.1,43.01,7079.25,-91.58,36.18
2019-08-08 07:00:00 UTC,28.04,41.29,43.44,7143.59,-92.59,35.91
2019-08-08 08:00:00 UTC,18.99,27.13,28.33,7202.07,-91.83,26.55
2019-08-08 09:00:00 UTC,21.61,29.97,31.2,7260.07,-92.31,28.17
2019-08-08 10:00:00 UTC,18.25,25.5,26.56,7319.9,-92.1,24.96
2019-08-08 11:00:00 UTC,17.96,24.93,26,7381.27,-92.37,23.85
2019-08-08 12:00:00 UTC,16.02,21.75,22.52,7441.97,-91.63,21
2019-08-08 13:00:00 UTC,18.67,25.28,26.33,7500.21,-92.07,24.33
2019-08-08 14:00:00 UTC,18.24,24.8,25.68,7562.36,-92.29,23.89
2019-08-08 15:00:00 UTC,17.32,23.56,24.53,7621.52,-92.59,22.78
2019-08-08 16:00:00 UTC,18.81,25.59,26.61,7681.38,-92.24,23.93
2019-08-08 17:00:00 UTC,18.35,25.58,26.9,7739.75,-92.32,24.16
2019-08-08 18:00:00 UTC,21.59,29.8,30.98,7803.11,-91.79,27.61
2019-08-08 19:00:00 UTC,20.5,27.81,28.79,7860.56,-91.96,26.57
2019-08-08 20:00:00 UTC,18.56,24.85,25.81,7924.86,-92.95,23.44
2019-08-08 21:00:00 UTC,17.75,25.37,26.49,7981.38,-91.79,24.81
2019-08-08 22:00:00 UTC,16.49,24.02,25.32,8041.07,-92.27,22.82
2019-08-08 23:00:00 UTC,26.09,37.21,38.85,8101,-91.17,31.21
2019-08-09 00:00:00 UTC,11.45,17.06,17.95,8161,-91.73,17.01
2019-08-09 01:00:00 UTC,9.24,13.74,14.46,8221,-91.97,13.66
2019-08-09 02:00:00 UTC,10.07,14.89,15.73,8281,-91.23,14.85
2019-08-09 03:00:00 UTC,12.04,17.5,18.28,8341,-91.57,17.08
2019-08-09 04:00:00 UTC,14.17,19.74,20.61,8401,-91.77,19.53
2019-08-09 05:00:00 UTC,17.32,23.37,24.28,8461,-92.2,22.37
2019-08-09 06:00:00 UTC,17.32,24.08,25.24,8521,-89.97,23.72
2019-08-09 07:00:00 UTC,17.37,24.08,25.08,8581.03,-91.07,23.58
2019-08-09 08:00:00 UTC,15.44,21.57,22.58,8641.1,-91.07,21.22
2019-08-09 09:00:00 UTC,14.12,19.56,20.47,8701.07,-92.03,19.29
2019-08-09 10:00:00 UTC,17.21,23.57,24.55,8761.07,-92.53,22.54
2019-08-09 11:00:00 UTC,18.03,25.28,26.36,8821.37,-93.27,24.27
2019-08-09 12:00:00 UTC,14.32,19.73,20.65,8882,-92.87,19.64
2019-08-09 13:00:00 UTC,14.96,19.74,20.42,8942.03,-92.2,19.48
2019-08-09 14:00:00 UTC,16.91,22.6,23.46,9002.03,-92.6,22.02
2019-08-09 15:00:00 UTC,19.04,25.81,26.76,9061.1,-92.28,25.13
2019-08-09 16:00:00 UTC,17.41,22.66,23.47,9120.61,-92.11,21.46
2019-08-09 17:00:00 UTC,27.2,36.61,37.78,9183.65,-91.83,33.16
2019-08-09 18:00:00 UTC,29.23,39.16,40.45,9238.74,-92.32,34.56
2019-08-09 19:00:00 UTC,28.66,38.8,40.34,9298.95,-92.3,34.05
2019-08-09 20:00:00 UTC,23.99,32.41,33.64,9351.88,-92.31,29.39
2019-08-09 21:00:00 UTC,14.17,18.96,19.66,2114.67,-93.11,18.43
2019-08-09 22:00:00 UTC,17.7,24.41,25.32,81.05,-93,23.14
2019-08-09 23:00:00 UTC,21.38,31.16,32.86,142.38,-93.14,29.31
2019-08-10 00:00:00 UTC,13.81,21.18,22.38,199.36,-92.86,20.56
2019-08-10 01:00:00 UTC,11.16,16.34,17.24,262.48,-93.33,16.09
